Actual Credit Score,Predicted Credit Score,Actual Creditworthiness,Predicted Creditworthiness
406,462.42323232993533,Bad,Bad
679,699.8231038956234,Bad,Bad
750,719.7403715590435,Good,Good
515,510.7767934238591,Bad,Bad
589,611.8954457676091,Bad,Bad
708,696.545920317391,Good,Bad
524,527.3153883854048,Bad,Bad
566,601.0150954166548,Bad,Bad
828,836.411091510405,Good,Good
515,478.7020863926091,Bad,Bad
534,538.3149001041548,Bad,Bad
552,546.4618727604048,Bad,Bad
544,546.2950392842672,Bad,Bad
815,771.410418665194,Good,Good
645,715.0180251041548,Bad,Good
552,598.488098784176,Bad,Bad
505,529.2274977604048,Bad,Bad
741,695.8834279189568,Good,Bad
573,624.6005446354048,Bad,Bad
828,805.155845147048,Good,Good
496,465.17416591825145,Bad,Bad
771,732.3930043613591,Good,Good
660,650.1049391666548,Bad,Bad
558,563.3666579166548,Bad,Bad
627,556.9756007080749,Bad,Bad
451,496.7630792986107,Bad,Bad
656,613.5600172916548,Bad,Bad
805,732.920847875107,Good,Good
677,646.8607985416548,Bad,Bad
554,519.9789134710556,Bad,Bad
441,471.69215372776864,Bad,Bad
793,753.795368854155,Good,Good
517,524.7040602604048,Bad,Bad
635,641.9330641666548,Bad,Bad
645,665.1195876041548,Bad,Bad
639,572.5130171456142,Bad,Bad
475,419.5077949689281,Bad,Bad
517,550.2919508854048,Bad,Bad
743,726.5443731028868,Good,Good
426,442.6200758854049,Bad,Bad
648,689.6678975786886,Bad,Bad
820,811.461384479155,Good,Good
401,481.23626511387766,Bad,Bad
515,580.0095265726097,Bad,Bad
817,792.683064166655,Good,Good
630,639.9066969791548,Bad,Bad
565,605.8786816939813,Bad,Bad
538,525.5492751041548,Bad,Bad
780,780.503376666655,Good,Good
586,616.9302086623,Bad,Bad
467,556.6073805729048,Bad,Bad
606,595.9128099449405,Bad,Bad
505,538.3505446354048,Bad,Bad
618,669.747332727694,Bad,Bad
751,737.6377617832411,Good,Good
519,484.02842940038477,Bad,Bad
499,498.5649001041549,Bad,Bad
633,629.4486891666548,Bad,Bad
813,795.645466510405,Good,Good
687,670.1562086979048,Bad,Bad
664,664.0829665104048,Bad,Bad
829,806.239704791655,Good,Good
511,573.8207594791548,Bad,Bad
587,555.1327711979048,Bad,Bad
456,503.0507192051091,Bad,Bad
561,582.8502696830793,Bad,Bad
437,459.1610707676091,Bad,Bad
605,612.6415843061674,Bad,Bad
583,543.5953937208087,Bad,Bad
363,488.4791675245197,Bad,Bad
517,516.1977126041548,Bad,Bad
553,651.2984545447424,Bad,Bad
543,549.2895094791548,Bad,Bad
608,628.3158559238591,Bad,Bad
817,758.236286822905,Good,Good
517,543.7616774479048,Bad,Bad
589,592.2667840173885,Bad,Bad
551,500.7721793141571,Bad,Bad
781,754.027790729155,Good,Good
616,655.3904106488898,Bad,Bad
517,542.8700758854048,Bad,Bad
330,344.5409547968565,Bad,Bad
636,649.7900696030205,Bad,Bad
433,438.7010675798607,Bad,Bad
817,784.108172571444,Good,Good
600,563.661395227694,Bad,Bad
799,728.7841383854048,Good,Good
655,714.8130343811237,Bad,Good
646,678.0812120727039,Bad,Bad
433,467.1015211979049,Bad,Bad
773,782.9173761974528,Good,Good
512,534.4618727604048,Bad,Bad
780,743.2346205085885,Good,Good
464,512.3128807674353,Bad,Bad
736,626.1291730824626,Good,Bad
707,713.0347361642787,Good,Good
505,534.0946852604048,Bad,Bad
453,489.24208608310914,Bad,Bad
750,762.8162209942407,Good,Good
507,491.6493695417296,Bad,Bad
575,586.7799253458181,Bad,Bad
624,603.0063063541548,Bad,Bad
463,526.476916713682,Bad,Bad
506,526.5111891666548,Bad,Bad
821,803.3130204536387,Good,Good
407,308.14672652241165,Bad,Bad
817,764.747517291655,Good,Good
489,554.443907271389,Bad,Bad
797,756.1160093383289,Good,Good
452,538.7375859527353,Bad,Bad
552,539.3199288374104,Bad,Bad
824,707.9943607298703,Good,Good
594,521.469477328765,Bad,Bad
628,602.8752068234062,Bad,Bad
